DataSize(B),DataSizePerRank(B),NumMPIRanks,MeanRingShiftTime(ms),Bandwidth(GB/s),Latency(ms)
2,1,2,0.003052,0.000305,0.001526
4,1,4,0.002773,0.000336,0.001387
8,2,4,0.003536,0.000527,0.001768
8,1,8,0.003235,0.000288,0.001617
16,4,4,0.003492,0.001067,0.001746
16,2,8,0.004687,0.000397,0.002343
16,1,16,0.004083,0.000228,0.002042
32,8,4,0.003750,0.001987,0.001875
32,4,8,0.003874,0.000962,0.001937
32,2,16,0.004576,0.000407,0.002288
32,1,32,0.009292,0.000100,0.004646
64,16,4,0.003783,0.003939,0.001892
64,8,8,0.004076,0.001828,0.002038
64,4,16,0.004668,0.000798,0.002334
64,2,32,0.007240,0.000257,0.003620
64,1,64,0.151511,0.000006,0.075755
128,1,128,0.088825,0.000010,0.044412
128,32,4,0.003855,0.007732,0.001927
128,16,8,0.003316,0.004493,0.001658
128,8,16,0.004193,0.001777,0.002096
128,4,32,0.007503,0.000497,0.003751
128,2,64,0.010219,0.000182,0.005110
128,1,128,0.099492,0.000009,0.049746
256,2,128,0.101871,0.000018,0.050936
256,64,4,0.004372,0.013634,0.002186
256,32,8,0.003460,0.008613,0.001730
256,16,16,0.004124,0.003614,0.002062
256,8,32,0.006494,0.001147,0.003247
256,4,64,0.011878,0.000314,0.005939
256,2,128,0.097422,0.000019,0.048711
512,4,128,0.096101,0.000039,0.048050
512,128,4,0.003145,0.037902,0.001573
512,64,8,0.003624,0.016449,0.001812
512,32,16,0.003884,0.007673,0.001942
512,16,32,0.007539,0.001977,0.003769
512,8,64,0.009969,0.000747,0.004985
512,4,128,0.093573,0.000040,0.046787
1024,8,128,0.088484,0.000084,0.044242
1024,256,4,0.003887,0.061336,0.001944
1024,128,8,0.003189,0.037385,0.001594
1024,64,16,0.003697,0.016123,0.001848
1024,32,32,0.005939,0.005018,0.002970
1024,16,64,0.011381,0.001309,0.005691
1024,8,128,0.090865,0.000082,0.045433
2048,16,128,0.097870,0.000152,0.048935
2048,512,4,0.003864,0.123391,0.001932
2048,256,8,0.003410,0.069919,0.001705
2048,128,16,0.004270,0.027917,0.002135
2048,64,32,0.008558,0.006965,0.004279
2048,32,64,0.010197,0.002923,0.005098
2048,16,128,0.099275,0.000150,0.049638
4096,32,128,0.096428,0.000309,0.048214
4096,1024,4,0.003388,0.281474,0.001694
4096,512,8,0.006653,0.071672,0.003327
4096,256,16,0.003764,0.063337,0.001882
4096,128,32,0.008772,0.013589,0.004386
4096,64,64,0.011458,0.005202,0.005729
4096,32,128,0.103879,0.000287,0.051940
8192,64,128,0.096145,0.000620,0.048072
8192,2048,4,0.003812,0.500393,0.001906
8192,1024,8,0.003863,0.246877,0.001931
8192,512,16,0.004479,0.106463,0.002239
8192,256,32,0.006461,0.036899,0.003231
8192,128,64,0.008728,0.013658,0.004364
8192,64,128,0.090637,0.000658,0.045318
16384,128,128,0.088315,0.001350,0.044157
16384,4096,4,0.004127,0.924436,0.002063
16384,2048,8,0.004619,0.412949,0.002309
16384,1024,16,0.004953,0.192555,0.002476
16384,512,32,0.007285,0.065454,0.003643
16384,256,64,0.008871,0.026876,0.004435
16384,128,128,0.094415,0.001263,0.047208
32768,256,128,0.096717,0.002465,0.048358
32768,8192,4,0.003895,1.958640,0.001948
32768,4096,8,0.006013,0.634402,0.003007
32768,2048,16,0.009157,0.208298,0.004578
32768,1024,32,0.007926,0.120323,0.003963
32768,512,64,0.013481,0.035370,0.006741
32768,256,128,0.093488,0.002550,0.046744
65536,512,128,0.105010,0.004541,0.052505
65536,16384,4,0.006335,2.408830,0.003167
65536,8192,8,0.006852,1.113536,0.003426
65536,4096,16,0.011126,0.342856,0.005563
65536,2048,32,0.009184,0.207676,0.004592
65536,1024,64,0.013555,0.070356,0.006777
65536,512,128,0.096387,0.004947,0.048193
